DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
MARSILAC;45;75;0;0;0;0;0;0;0;0;83;39;0;0;0;0;;;set-08
MOEMA;221;1248;393;245;0;0;0;0;0;9;141;46;0;0;0;0;;;set-08
MOOCA;649;1251;320;318;86;152;0;0;6;2;160;22;0;0;0;0;;;set-08
MORUMBI;374;642;737;617;62;71;0;0;0;4;421;177;0;0;0;0;;;set-08
PARELHEIROS;1270;4720;3403;1512;167;999;0;0;9;16;2450;1179;0;0;0;0;;;set-08
PARI;264;440;366;358;0;0;0;0;8;0;265;80;0;0;0;0;;;set-08
PARQUE DO CARMO;954;2250;1193;1295;0;345;0;0;6;15;860;88;0;0;0;0;;;set-08
PEDREIRA;1299;4132;4916;4758;258;1389;0;0;5;44;2218;765;0;0;0;0;;;set-08
PENHA;1090;1453;154;0;0;0;0;0;8;3;822;200;0;0;0;0;;;set-08
PERDIZES;470;721;335;298;0;39;0;0;0;2;179;20;0;0;0;0;;;set-08
PERUS;805;3211;4326;3980;266;1081;0;0;7;18;1480;435;0;0;0;0;;;set-08
PINHEIROS;315;728;378;390;0;0;0;0;9;0;391;51;0;0;0;0;;;set-08
PIRITUBA;1464;3883;4130;4262;442;972;332;0;1;22;1264;631;0;0;0;0;;;set-08
PONTE RASA;675;2198;2355;2860;43;642;0;0;8;10;696;190;0;0;0;0;;;set-08
RAPOSO TAVARES;1647;4226;4217;3751;229;854;0;0;12;18;1434;173;0;0;0;0;;;set-08
REPUBLICA;5;457;0;0;0;0;0;0;0;3;4;37;0;0;0;0;;;set-08
RIO PEQUENO;1717;3577;4051;3342;368;899;0;0;5;9;1510;322;0;0;0;0;;;set-08
SACOMA;2385;6892;5463;5263;723;1474;0;0;16;37;3365;840;0;0;0;0;;;set-08
SANTA CECILIA;737;1137;0;0;0;0;0;0;4;12;556;66;0;0;0;0;;;set-08
SANTANA;761;2074;1501;1808;0;255;1050;621;9;11;598;38;0;0;0;0;;;set-08
SANTO AMARO;280;361;1123;1387;0;583;86;0;0;2;109;102;0;0;0;0;;;set-08
SAO DOMINGOS;648;1910;2972;2984;125;492;0;0;1;9;683;83;0;0;0;0;;;set-08
SAO LUCAS;521;3140;3429;3622;132;419;0;0;2;6;755;288;0;0;0;0;;;set-08
SAO MATEUS;2082;5120;4271;4138;423;1582;0;0;19;29;1850;238;0;0;0;0;;;set-08
SAO MIGUEL;1353;3001;4116;4090;148;847;248;0;5;0;1249;404;0;0;0;0;;;set-08
SAO RAFAEL;2178;6965;5314;4605;455;1168;0;0;12;41;2530;561;0;0;0;0;;;set-08
SAPOPEMBA;3595;9932;10173;10216;1113;2439;361;0;39;55;3761;601;0;0;0;0;;;set-08
SAUDE;443;967;248;342;0;147;0;0;1;2;262;84;0;0;0;0;;;set-08
SE;52;113;565;377;71;144;0;0;3;8;183;44;0;0;0;0;;;set-08
SOCORRO;385;1171;1356;1483;94;537;0;0;0;2;246;28;0;0;0;0;;;set-08
TATUAPE;449;2192;1300;1292;156;382;0;0;0;1;222;41;0;0;0;0;;;set-08
TREMEMBE;1125;5352;4048;4089;477;907;0;0;1;13;3168;1230;0;0;0;0;;;set-08
TUCURUVI;349;1011;1397;1404;0;81;0;0;3;4;372;131;0;0;0;0;;;set-08
VILA ANDRADE;219;1750;2717;1519;337;461;0;0;1;115;1241;199;0;0;0;0;;;set-08
VILA CURUCA;1892;6518;6449;6844;108;1098;0;0;0;3;2337;1015;0;0;0;0;;;set-08
VILA FORMOSA;277;1910;417;535;0;166;0;0;1;2;642;127;0;0;0;0;;;set-08
VILA GUILHERME;479;1653;1202;1075;62;108;0;0;2;6;268;49;0;0;0;0;;;set-08
VILA JACUI;1735;5924;4356;4493;160;1047;0;0;1;4;1799;543;0;0;0;0;;;set-08
VILA LEOPOLDINA;265;856;649;646;47;115;0;0;0;18;157;58;0;0;0;0;;;set-08
VILA MARIA;1513;5010;3934;3204;160;472;0;0;7;38;1197;265;0;0;0;0;;;set-08
VILA MARIANA;317;1379;249;288;0;70;0;0;0;1;395;35;0;0;0;0;;;set-08
VILA MATILDE;900;1441;2306;2667;115;484;0;0;7;2;449;87;0;0;0;0;;;set-08
VILA MEDEIROS;1167;3527;2270;2210;428;885;0;0;6;28;1527;407;0;0;0;0;;;set-08
VILA PRUDENTE;1318;2232;1175;1220;131;228;0;0;8;5;569;117;0;0;0;0;;;set-08
VILA SONIA;847;2318;2062;2102;220;483;0;0;4;7;1263;418;0;0;0;0;;;set-08
AGUA RASA;767;1461;1230;1358;58;85;0;0;3;2;135;89;0;0;0;0;8;8;dez-08
ALTO DE PINHEIROS;257;184;0;0;0;0;0;0;0;0;31;0;0;0;0;0;4;0;dez-08
ANHANGUERA;684;1910;2923;2677;167;863;0;0;0;13;475;72;0;0;0;0;7;3;dez-08
ARICANDUVA;714;1605;1882;2115;96;416;0;0;1;1;236;89;0;0;0;0;8;4;dez-08
ARTUR ALVIM;1509;3814;2539;2679;19;189;0;0;0;0;488;162;0;0;0;0;58;12;dez-08
BARRA FUNDA;341;46;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;dez-08
BELA VISTA;648;1269;494;420;0;446;0;0;1;0;347;44;0;0;0;0;32;1;dez-08
BELEM;534;1601;525;136;0;0;0;0;0;0;108;39;0;0;0;0;26;2;dez-08
BOM RETIRO;503;1423;0;0;0;0;0;0;1;0;262;17;0;0;0;0;18;8;dez-08
BRAS;442;771;0;0;0;0;0;0;0;1;166;4;0;0;0;0;10;0;dez-08
BRASILANDIA;3630;9643;9932;7972;629;2620;0;0;21;9;2002;851;0;0;0;0;99;29;dez-08
BUTANTA;385;1260;1488;1445;482;1019;0;0;0;1;158;49;0;0;0;0;18;5;dez-08
CACHOEIRINHA;1220;4734;3013;3031;246;936;0;0;9;2;586;61;0;0;0;0;24;10;dez-08
CAMBUCI;183;745;0;0;247;347;0;0;0;0;111;34;0;0;0;0;3;2;dez-08
CAMPO BELO;550;811;1416;1366;92;423;0;0;1;3;108;4;0;0;0;0;21;2;dez-08
CAMPO GRANDE;534;2208;3084;3086;308;862;0;0;1;1;234;178;0;0;0;0;9;16;dez-08
CAMPO LIMPO;2232;8752;8229;7846;902;2381;0;0;0;1;2044;250;0;0;0;0;82;67;dez-08
CANGAIBA;1202;4582;2393;2628;201;580;0;0;0;20;909;192;0;0;0;0;45;22;dez-08
CAPAO REDONDO;2166;7252;10968;8719;1273;3914;0;0;0;0;2575;1105;0;0;0;0;30;25;dez-08
CARRAO;1061;1942;849;940;0;0;0;0;0;0;185;15;0;0;0;0;57;34;dez-08
CASA VERDE;511;1501;1173;1147;84;418;0;0;0;0;487;116;0;0;0;0;18;11;dez-08
CIDADE ADEMAR;2051;5963;3618;3689;542;1069;0;0;0;4;2017;827;0;0;0;0;160;53;dez-08
CIDADE DUTRA;3160;7339;6227;6736;386;1527;0;0;1;0;1651;140;0;0;0;0;80;56;dez-08
CIDADE LIDER;1539;4866;2686;2981;445;1293;0;0;1;2;535;63;0;0;0;0;91;27;dez-08
CIDADE TIRADENTES;3073;11202;11968;11850;630;2197;410;0;10;15;1948;380;0;0;0;0;73;46;dez-08
CONSOLACAO;373;1631;0;0;0;0;0;0;0;0;54;10;0;0;0;0;16;2;dez-08
CURSINO;435;1651;912;970;23;90;0;0;0;0;417;100;0;0;0;0;5;18;dez-08
ERMELINO MATARAZZO;933;3552;1443;1572;203;968;0;0;0;2;700;107;0;0;0;0;39;25;dez-08
FREGUESIA DO O;1239;3993;2900;2598;220;962;0;0;7;3;458;314;0;0;0;0;41;7;dez-08
GRAJAU;3409;10892;8228;6930;808;2605;0;0;0;0;3553;1454;0;0;0;0;74;27;dez-08
GUAIANASES;1915;4834;1597;2087;436;986;0;0;35;15;437;91;0;0;0;0;21;17;dez-08
IGUATEMI;1447;5501;6800;6003;323;1020;0;0;0;0;1065;168;0;0;0;0;27;24;dez-08
IPIRANGA;948;2618;760;776;158;215;0;0;1;0;404;42;0;0;0;0;20;18;dez-08
ITAIM BIBI;274;908;777;665;66;263;0;0;0;0;55;24;0;0;0;0;25;1;dez-08
ITAIM PAULISTA;2335;7453;5529;5400;378;1755;0;0;4;0;1529;342;0;0;0;0;197;118;dez-08
ITAQUERA;2551;6127;3070;3577;226;1276;0;0;0;0;1003;166;0;0;0;0;97;16;dez-08
JABAQUARA;2105;5615;3052;2638;307;520;0;0;0;86;1261;300;0;0;0;0;95;44;dez-08
JACANA;1191;3438;2313;2036;78;293;0;0;1;0;356;54;0;0;0;0;24;3;dez-08
JAGUARA;586;944;822;848;92;312;0;0;0;0;46;0;0;0;0;0;5;0;dez-08
JAGUARE;558;1143;396;427;143;163;0;0;3;0;306;8;0;0;0;0;9;0;dez-08
JARAGUA;3152;7464;9875;9111;693;1977;342;0;0;0;1602;609;0;0;0;0;35;13;dez-08
JARDIM ANGELA;2587;8911;8165;6105;617;2141;0;0;13;0;2635;769;0;0;0;0;237;139;dez-08
JARDIM HELENA;1827;5269;5781;5732;116;852;0;0;0;6;844;170;0;0;0;0;105;22;dez-08
JARDIM PAULISTA;28;550;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;dez-08
JARDIM SAO LUIS;3332;9107;7746;6511;520;1675;0;0;0;1;2480;516;0;0;0;0;80;61;dez-08
JOSE BONIFACIO;1255;4755;2814;2641;44;318;0;0;0;0;517;67;0;0;0;0;38;23;dez-08
LAJEADO;2997;6906;4129;3891;328;1064;0;0;3;5;1253;921;0;0;0;0;41;34;dez-08
LAPA;242;1970;0;0;0;0;0;0;0;0;131;56;0;0;0;0;7;2;dez-08
LIBERDADE;374;635;293;299;35;84;0;0;0;0;295;3;0;0;0;0;6;2;dez-08
LIMAO;359;1738;781;730;39;274;0;0;0;6;247;8;0;0;0;0;15;4;dez-08
MANDAQUI;882;2935;2104;2285;160;447;0;0;0;3;464;32;0;0;0;0;10;13;dez-08
MARSILAC;81;75;0;0;0;0;0;0;0;0;9;3;0;0;0;0;1;1;dez-08
MOEMA;211;1204;387;238;0;0;0;0;0;0;55;10;0;0;0;0;3;3;dez-08
MOOCA;637;1230;316;307;57;99;0;0;0;0;54;10;0;0;0;0;27;2;dez-08
MORUMBI;374;629;737;617;62;71;0;0;0;1;107;20;0;0;0;0;7;4;dez-08
PARELHEIROS;1559;4949;3375;1509;117;708;0;0;1;0;1067;376;0;0;0;0;68;12;dez-08
PARI;262;436;361;359;0;0;0;0;6;0;54;9;0;0;0;0;14;4;dez-08
PARQUE DO CARMO;1015;2290;1191;1296;0;282;0;0;7;5;268;50;0;0;0;0;16;1;dez-08
PEDREIRA;1291;4113;4880;4642;212;1132;0;0;6;18;1066;238;0;0;0;0;31;29;dez-08
PENHA;1106;1414;551;0;0;0;0;0;5;0;275;24;0;0;0;0;49;2;dez-08
PERDIZES;472;709;334;295;0;39;0;0;0;0;172;32;0;0;0;0;0;0;dez-08
PERUS;835;3198;4292;3908;267;1076;0;0;3;0;1022;261;0;0;0;0;18;13;dez-08
PINHEIROS;315;722;373;384;0;0;0;0;1;0;87;11;0;0;0;0;10;2;dez-08
PIRITUBA;1458;3838;4113;4230;443;964;331;0;0;7;650;210;0;0;0;0;9;6;dez-08
PONTE RASA;681;2199;2343;2809;43;613;0;0;0;0;355;100;0;0;0;0;18;4;dez-08
RAPOSO TAVARES;1651;4202;4046;3642;219;842;0;0;0;4;475;94;0;0;0;0;21;11;dez-08
REPUBLICA;7;452;0;0;0;0;0;0;1;0;38;8;0;0;0;0;2;11;dez-08
RIO PEQUENO;1716;3529;4023;3293;327;733;0;0;2;0;558;100;0;0;0;0;60;13;dez-08
SACOMA;2553;6914;5327;5144;636;1334;0;0;29;6;1245;200;0;0;0;0;50;34;dez-08
SANTA CECILIA;722;1106;0;0;0;0;0;0;5;0;172;19;0;0;0;0;44;9;dez-08
SANTANA;767;2048;1495;1772;0;238;1017;621;0;0;264;40;0;0;0;0;12;2;dez-08
SANTO AMARO;281;362;1120;1373;0;575;87;0;0;1;72;11;0;0;0;0;13;9;dez-08
SAO DOMINGOS;701;1871;2949;2951;123;489;0;0;0;0;353;40;0;0;0;0;13;1;dez-08
SAO LUCAS;565;3146;3400;3573;141;398;0;0;24;0;337;46;0;0;0;0;48;26;dez-08
SAO MATEUS;2075;5085;4239;4067;419;1396;0;0;0;0;594;49;0;0;0;0;35;3;dez-08
SAO MIGUEL;1357;2959;4081;4066;92;820;249;0;0;1;344;113;0;0;0;0;51;8;dez-08
SAO RAFAEL;2167;6935;5289;4577;422;1019;0;0;0;0;578;35;0;0;0;0;43;24;dez-08
SAPOPEMBA;3595;9757;10107;10086;799;1677;363;0;1;3;1307;85;0;0;0;0;104;25;dez-08
SAUDE;444;960;251;342;0;145;0;0;0;0;111;13;0;0;0;0;7;3;dez-08
SE;54;120;515;352;62;123;0;0;0;0;101;10;0;0;0;0;1;0;dez-08
SOCORRO;386;1163;1350;1474;56;403;0;0;0;0;105;2;0;0;0;0;2;1;dez-08
TATUAPE;448;2168;1148;1292;155;307;0;0;0;1;83;32;0;0;0;0;10;7;dez-08
TREMEMBE;1113;5350;4034;4038;410;818;0;0;0;0;1099;292;0;0;0;0;27;12;dez-08
TUCURUVI;344;1009;1362;1373;0;70;0;0;0;1;109;33;0;0;0;0;14;3;dez-08
VILA ANDRADE;220;1727;2699;1522;307;401;0;0;0;0;500;75;0;0;0;0;7;29;dez-08
VILA CURUCA;2005;6472;6399;6803;108;1097;0;0;0;7;863;179;0;0;0;0;121;61;dez-08
VILA FORMOSA;273;1894;413;529;0;102;0;0;0;0;299;86;0;0;0;0;6;2;dez-08
VILA GUILHERME;484;1649;1204;1071;48;88;0;0;0;1;154;47;0;0;0;0;14;6;dez-08
VILA JACUI;1951;5862;4311;4405;162;1066;0;0;0;0;542;101;0;0;0;0;87;9;dez-08
VILA LEOPOLDINA;259;843;650;633;47;116;0;0;0;0;72;37;0;0;0;0;2;0;dez-08
VILA MARIA;1512;4972;3886;3080;141;388;0;0;3;1;505;102;0;0;0;0;34;12;dez-08
VILA MARIANA;317;1388;247;285;0;66;0;0;0;0;138;10;0;0;0;0;4;7;dez-08
VILA MATILDE;901;1423;2304;2656;62;293;0;0;2;4;192;26;0;0;0;0;30;5;dez-08
VILA MEDEIROS;1168;3571;2252;2168;366;811;0;0;0;3;447;103;0;0;0;0;56;2;dez-08
VILA PRUDENTE;1306;2229;1167;1204;101;202;0;0;0;0;189;28;0;0;0;0;33;7;dez-08
VILA SONIA;848;2311;2036;2080;220;484;0;0;0;0;548;96;0;0;0;0;10;12;dez-08
AGUA RASA;739;1131;1191;1350;71;138;0;0;6;30;136;121;0;0;0;0;18;19;mar-09
ALTO DE PINHEIROS;273;102;0;0;0;0;0;0;0;0;48;1;0;0;0;0;7;0;mar-09
ANHANGUERA;796;2293;2874;2982;205;777;0;0;11;4;411;108;0;0;0;0;36;60;mar-09
ARICANDUVA;891;1382;1700;2037;109;412;0;0;10;20;248;106;0;0;0;0;6;15;mar-09
ARTUR ALVIM;1520;3595;2255;2429;15;194;0;0;42;35;459;145;0;0;0;0;33;64;mar-09
BARRA FUNDA;294;93;0;0;0;0;0;0;0;0;60;2;0;0;0;0;2;3;mar-09
BELA VISTA;688;1261;475;419;0;330;0;0;62;37;410;78;0;0;0;0;32;7;mar-09
BELEM;639;1397;456;223;0;0;0;0;14;47;123;47;0;0;0;0;12;14;mar-09
BOM RETIRO;492;1449;0;0;0;0;0;0;9;13;425;87;0;0;0;0;18;43;mar-09
BRAS;379;777;0;0;0;0;0;0;15;19;213;4;0;0;0;0;13;5;mar-09
BRASILANDIA;3937;9359;9149;8620;663;2848;0;0;81;52;2339;1720;0;0;0;0;105;134;mar-09
BUTANTA;420;1042;1353;1493;357;841;0;0;2;0;150;96;0;0;0;0;13;18;mar-09
CACHOEIRINHA;1494;4788;3341;3295;221;976;0;0;21;46;729;288;0;0;0;0;51;57;mar-09
CAMBUCI;163;667;0;0;258;315;0;0;2;5;137;107;0;0;0;0;1;15;mar-09
CAMPO BELO;609;709;1336;1419;132;419;0;0;10;17;259;29;0;0;0;0;41;53;mar-09
CAMPO GRANDE;557;2220;2691;3083;297;614;0;0;12;6;274;347;0;0;0;0;19;59;mar-09
CAMPO LIMPO;2179;8774;7824;7873;756;2508;0;0;52;228;2603;714;0;0;0;0;85;131;mar-09
CANGAIBA;1251;4357;2088;2555;148;1014;0;0;28;24;963;672;0;0;0;0;38;96;mar-09
CAPAO REDONDO;2353;7474;10349;8938;972;3541;0;0;81;59;2883;2369;0;0;0;0;44;118;mar-09
CARRAO;1073;1853;1015;1172;0;0;0;0;2;21;241;36;0;0;0;0;19;17;mar-09
CASA VERDE;550;1423;1199;1242;79;389;0;0;1;5;573;178;0;0;0;0;15;29;mar-09
CIDADE ADEMAR;2314;5618;3428;3371;465;1111;0;0;24;44;2600;1589;0;0;0;0;138;277;mar-09
CIDADE DUTRA;3060;7905;5942;6836;357;1456;0;0;21;48;2279;344;0;0;0;0;43;56;mar-09
CIDADE LIDER;1750;4743;2508;2891;342;958;0;0;8;45;589;114;0;0;0;0;18;58;mar-09
CIDADE TIRADENTES;3377;10438;10633;11735;481;1685;412;0;95;136;1721;836;0;0;0;0;139;125;mar-09
CONSOLACAO;343;1783;0;0;0;0;0;0;18;8;89;5;0;0;0;0;7;1;mar-09
CURSINO;412;1660;789;914;61;137;0;0;0;10;430;259;0;0;0;0;4;27;mar-09
ERMELINO MATARAZZO;999;3444;1297;1559;240;1072;0;0;32;76;597;297;0;0;0;0;64;53;mar-09
FREGUESIA DO O;1321;3867;3082;2720;186;945;0;0;61;78;551;469;0;0;0;0;43;40;mar-09
GRAJAU;3618;11074;7732;6400;804;2814;0;0;66;107;3858;3077;0;0;0;0;55;117;mar-09
GUAIANASES;2213;4415;1485;1912;419;967;0;0;37;56;436;90;0;0;0;0;53;22;mar-09
IGUATEMI;1459;5373;6732;6470;351;982;0;0;4;18;1469;675;0;0;0;0;17;44;mar-09
IPIRANGA;916;2393;657;809;158;302;0;0;28;16;549;157;0;0;0;0;9;27;mar-09
ITAIM BIBI;304;830;730;664;73;309;0;0;1;5;126;20;0;0;0;0;10;10;mar-09
ITAIM PAULISTA;2647;7357;5528;5360;248;1359;0;0;22;35;1771;985;0;0;0;0;150;115;mar-09
ITAQUERA;3293;6269;2698;3411;192;1029;0;0;29;174;1111;293;0;0;0;0;52;95;mar-09
JABAQUARA;2388;5309;2666;2922;306;604;0;0;27;49;1709;981;0;0;0;0;87;286;mar-09
JACANA;1369;3137;2106;2019;66;334;0;0;12;32;360;308;0;0;0;0;31;32;mar-09
JAGUARA;436;935;819;809;70;312;0;0;6;0;69;0;0;0;0;0;2;1;mar-09
JAGUARE;547;1099;422;446;113;223;0;0;4;22;328;38;0;0;0;0;7;18;mar-09
JARAGUA;3387;7285;9222;9124;734;1983;303;0;27;21;1523;1226;0;0;0;0;64;130;mar-09
JARDIM ANGELA;2320;9323;7799;5834;450;1601;0;0;42;195;2846;1833;0;0;0;0;241;408;mar-09
JARDIM HELENA;1888;5038;5400;5654;186;1067;0;0;28;23;984;698;0;0;0;0;105;134;mar-09
JARDIM PAULISTA;24;564;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;mar-09
JARDIM SAO LUIS;3303;8714;7130;6471;487;1609;0;0;61;128;2978;1127;0;0;0;0;51;155;mar-09
JOSE BONIFACIO;1292;4580;2856;2874;64;418;0;0;46;35;508;243;0;0;0;0;9;82;mar-09
LAJEADO;3132;6383;3746;3755;202;1157;0;0;43;57;1246;1236;0;0;0;0;74;57;mar-09
LAPA;248;1972;0;0;0;0;0;0;0;1;111;113;0;0;0;0;8;15;mar-09
LIBERDADE;341;659;265;311;0;88;0;0;1;7;344;38;0;0;0;0;5;1;mar-09
LIMAO;373;1663;829;756;41;260;0;0;5;28;370;112;0;0;0;0;7;11;mar-09
MANDAQUI;927;2763;1843;2271;191;452;0;0;8;35;578;122;0;0;0;0;15;22;mar-09
MARSILAC;75;81;0;0;0;0;0;0;0;0;5;13;0;0;0;0;1;1;mar-09
MOEMA;173;1236;405;243;0;0;0;0;0;8;60;33;0;0;0;0;1;7;mar-09
MOOCA;598;1277;315;320;67;172;0;0;8;16;91;16;0;0;0;0;22;15;mar-09
MORUMBI;369;693;603;634;80;79;0;0;1;16;146;37;0;0;0;0;4;29;mar-09
PARELHEIROS;1591;5501;3182;1799;277;854;0;0;37;128;1272;595;0;0;0;0;56;35;mar-09
PARI;277;371;324;337;0;0;0;0;0;2;90;16;0;0;0;0;15;9;mar-09
PARQUE DO CARMO;1192;2101;1119;1246;0;354;0;0;17;14;310;91;0;0;0;0;59;33;mar-09
PEDREIRA;1566;3760;4444;4518;274;1764;0;0;20;41;1256;772;0;0;0;0;55;175;mar-09
PENHA;1193;1302;541;331;0;0;0;0;90;24;390;77;0;0;0;0;39;29;mar-09
PERDIZES;403;639;360;294;0;0;0;0;1;0;79;48;0;0;0;0;6;15;mar-09
PERUS;793;3184;4255;4102;211;858;0;0;2;10;949;436;0;0;0;0;25;34;mar-09
PINHEIROS;311;716;380;411;0;0;0;0;8;2;160;24;0;0;0;0;3;15;mar-09
PIRITUBA;1413;3852;3788;4268;397;1297;314;0;2;11;691;457;0;0;0;0;20;56;mar-09
PONTE RASA;770;2017;2158;3112;62;627;0;0;15;27;342;260;0;0;0;0;17;46;mar-09
RAPOSO TAVARES;1606;4167;3926;3908;215;747;0;0;34;90;679;165;0;0;0;0;58;47;mar-09
REPUBLICA;7;432;0;0;0;0;0;0;3;1;8;52;0;0;0;0;0;5;mar-09
RIO PEQUENO;1588;3648;3753;3376;325;600;0;0;13;6;776;309;0;0;0;0;56;83;mar-09
SACOMA;3128;6094;5111;5392;581;1521;0;0;24;65;1488;829;0;0;0;0;53;120;mar-09
SANTA CECILIA;748;1095;0;0;0;0;0;0;37;9;228;68;0;0;0;0;22;26;mar-09
SANTANA;899;1322;1377;1608;0;230;1065;574;16;19;226;110;0;0;0;0;22;28;mar-09
SANTO AMARO;248;372;1027;1315;0;509;100;0;17;3;77;41;0;0;0;0;2;21;mar-09
SAO DOMINGOS;748;1849;2802;2996;96;317;0;0;1;4;372;37;0;0;0;0;16;7;mar-09
SAO LUCAS;604;2863;3131;3534;75;457;0;0;1;37;410;249;0;0;0;0;5;37;mar-09
SAO MATEUS;2027;4921;4008;4228;303;1407;0;0;18;36;753;280;0;0;0;0;27;41;mar-09
SAO MIGUEL;1434;2842;3570;4006;109;1022;274;0;19;90;434;209;0;0;0;0;46;67;mar-09
SAO RAFAEL;2377;7087;4928;4851;409;1155;0;0;29;20;969;256;0;0;0;0;32;62;mar-09
SAPOPEMBA;3646;9860;9384;10078;822;2041;309;0;20;36;1718;333;0;0;0;0;75;92;mar-09
SAUDE;408;951;206;352;68;148;0;0;3;5;166;28;0;0;0;0;7;4;mar-09
SE;55;145;463;380;52;112;0;0;1;1;139;32;0;0;0;0;0;3;mar-09
SOCORRO;346;1183;1187;1430;90;418;0;0;0;6;133;28;0;0;0;0;3;1;mar-09
TATUAPE;430;1755;1015;1288;93;470;0;0;9;39;83;17;0;0;0;0;20;16;mar-09
TREMEMBE;1257;4991;3950;4128;439;976;0;0;5;19;1264;837;0;0;0;0;44;63;mar-09
TUCURUVI;347;944;1230;1269;0;78;0;0;7;15;150;96;0;0;0;0;11;14;mar-09
VILA ANDRADE;427;1619;2194;1373;230;363;0;0;6;186;805;405;0;0;0;0;59;52;mar-09
VILA CURUCA;2185;5999;5929;6736;71;965;0;0;27;60;987;645;0;0;0;0;65;94;mar-09
VILA FORMOSA;594;1851;500;839;0;103;0;0;13;199;424;155;0;0;0;0;30;39;mar-09
VILA GUILHERME;406;1374;1123;1095;63;118;0;0;8;9;157;120;0;0;0;0;5;21;mar-09
VILA JACUI;1988;5788;3869;4291;102;783;0;0;14;82;873;271;0;0;0;0;57;48;mar-09
VILA LEOPOLDINA;263;813;697;627;50;114;0;0;7;2;78;39;0;0;0;0;2;8;mar-09
VILA MARIA;1522;3962;3613;3185;165;479;0;0;9;33;639;392;0;0;0;0;21;42;mar-09
VILA MARIANA;334;1368;314;263;0;0;0;0;7;3;184;27;0;0;0;0;0;0;mar-09
VILA MATILDE;933;1399;2152;2673;83;369;0;0;10;20;203;60;0;0;0;0;31;14;mar-09
VILA MEDEIROS;1554;3269;2029;2118;422;1132;0;0;19;28;605;287;0;0;0;0;51;41;mar-09
VILA PRUDENTE;1302;2221;997;1210;86;299;0;0;4;6;250;64;0;0;0;0;15;15;mar-09
VILA SONIA;734;2392;1919;2053;205;460;0;0;2;3;680;239;0;0;0;0;17;46;mar-09
AGUA RASA;745;1146;1174;1330;62;134;0;0;5;16;108;89;0;0;0;0;17;18;jun-09
ALTO DE PINHEIROS;279;93;0;0;0;0;0;0;0;0;68;0;0;0;0;0;8;0;jun-09
ANHANGUERA;809;2249;2938;2979;203;746;0;0;3;59;568;85;0;0;0;0;21;55;jun-09
ARICANDUVA;890;1362;1698;2037;91;425;0;0;9;3;330;82;0;0;0;0;22;14;jun-09
ARTUR ALVIM;1536;3591;2318;2452;19;194;0;0;28;3;646;135;0;0;0;0;34;53;jun-09
BARRA FUNDA;291;92;0;0;0;0;0;0;0;0;104;2;0;0;0;0;6;1;jun-09
BELA VISTA;765;1272;470;423;0;371;0;0;6;5;519;57;0;0;0;0;42;17;jun-09
BELEM;638;1399;466;220;0;0;0;0;6;3;167;47;0;0;0;0;12;12;jun-09
BOM RETIRO;500;1459;0;0;0;0;0;0;0;17;506;76;0;0;0;0;34;28;jun-09
BRAS;391;797;0;0;0;0;0;0;5;3;305;4;0;0;0;0;25;4;jun-09
BRASILANDIA;3992;9382;9120;8569;668;2840;0;0;21;43;2833;1703;0;0;0;0;116;137;jun-09
BUTANTA;411;1044;1342;1494;372;932;0;0;5;2;226;94;0;0;0;0;13;11;jun-09
CACHOEIRINHA;1506;4827;3426;3270;224;993;0;0;20;25;938;248;0;0;0;0;53;48;jun-09
CAMBUCI;166;670;0;0;249;305;0;0;2;6;163;124;0;0;0;0;2;15;jun-09
CAMPO BELO;616;715;1302;1409;135;360;0;0;4;4;316;33;0;0;0;0;49;47;jun-09
CAMPO GRANDE;565;2224;2738;3079;272;586;0;0;1;4;364;361;0;0;0;0;24;72;jun-09
CAMPO LIMPO;2225;8876;8014;8042;824;2764;0;0;11;66;3254;636;0;0;0;0;97;113;jun-09
CANGAIBA;1300;4309;2073;2523;167;1069;0;0;5;26;1201;707;0;0;0;0;60;75;jun-09
CAPAO REDONDO;2491;7588;10510;9050;1177;4113;0;0;24;34;3456;2444;0;0;0;0;67;126;jun-09
CARRAO;1097;1840;1030;1154;0;0;0;0;9;18;292;26;0;0;0;0;17;8;jun-09
CASA VERDE;548;1418;1188;1226;96;390;0;0;5;5;685;149;0;0;0;0;12;16;jun-09
CIDADE ADEMAR;2581;5648;3514;3389;543;1312;0;0;11;40;3141;1649;0;0;0;0;163;288;jun-09
CIDADE DUTRA;3071;7884;6055;6960;368;1527;0;0;12;12;2842;356;0;0;0;0;44;61;jun-09
CIDADE LIDER;1817;4745;2524;2879;351;1085;0;0;19;18;732;121;0;0;0;0;26;57;jun-09
CIDADE TIRADENTES;3636;10475;10697;11724;510;1749;451;0;76;137;2120;713;0;0;0;0;134;98;jun-09
CONSOLACAO;346;1825;0;0;0;0;0;0;7;7;126;6;0;0;0;0;9;2;jun-09
